严世威(00:00:30): Hello. 听到。

JimmyLiao(00:00:35): 领导你吃过饭没飞书你能看到我消息吧？

严世威(00:00:38): 飞书吗。我看看，有看到。

JimmyLiao(00:00:47): 对主要是你在组织外，所以看不了。

严世威(00:00:54): 你那你拉一下！

JimmyLiao(00:00:57): 我可能还不好拉你。因为因为因为我们是公司账号，我还没有管理员的对。

严世威(00:00:59): 行。哈哈。行，没事，那你看一下怎么怎么给我设权限。

JimmyLiao(00:01:12): 没事，那个文档因为是我们客户弄的。所以他就还比较麻烦，算了，没事你你你能看到我发给你那个就行。

严世威(00:01:25): 那个 pdf？

JimmyLiao(00:01:27): 对你稍微过一遍，其实就知道了，就是我们现在是这样的，之前我们其实我们不是比如说喜茶什么那些不是都合作了好多家这些奶茶公司嘛，但是之前我们做的业务模式，就是他们运营这块我们是不管的嘛，我们其实只管设备嘛？

JimmyLiao(00:01:51): 我们只管设备，那简单一点，其实我们就是做了一个物联网的设备管理后台，其实也就只有设备，现在是不是正常，然后现在他的订单做了多少什么，但是我们其实不管那些什么配方，也不管那个运营，包括订单，这些我们是完全不管的，比如说他现在里面提到，比如说订单退单，包括订单异常，什么这些，其实我们之前这一块我们都是不做的，就是相当于都是品牌方他自己做的。但是现在我们最近服务了几家开始吧，说最近好几家那种人形公司找我们想合作这个模式就是相当于把原来的咖啡奶茶这一块。就是变成用人形机器人去替代，那这个时候就面临一个问题，像他们这种公司以前也不是做运营的？我们可能就需要开发一个这样的运营后台来支撑他们这一块的业务。

严世威(00:02:53): 那你们是不是得先，总结一下过去的经验，

严世威(00:03:03): 毕竟已经不是零从零开始了，以以前。他跟人交往吗？

JimmyLiao(00:03:05): 对，但是我可以稍微给你一些，比如茶百道，茶颜悦色什么，但是有个问题就是他们原来那些模式，他不是跟机器人交互的。

JimmyLiao(00:03:16): 他都是对现在你跟机器人交互了以后你你可以看到他经常会有，比如说机器人判断的异常，这些东西其实在人类是不存在的，有些东西。

严世威(00:03:27): 对，但你也可以理解成他就是他们之间的一种说话，通通讯嘛？

JimmyLiao(00:03:33): 对是，所以我也想找你的，反正回头下周我会把他这那些的问题我在内部先收集完这些资料收集完了以后，我们想的是一步到位肯定不现实。

JimmyLiao(00:03:49): 我们想的至少先有一个出版，让他现在能运营起来。

